"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Astn2",2.24113401919952e-217,-0.680507576975481,0.228,0.411,4.65102543004475e-213
"Car2",7.47112915505806e-217,-1.08160543308737,0.162,0.323,1.5504834335492e-212
"Apod",1.26654191895724e-213,-1.25738660761624,0.156,0.31,2.62845444441197e-209
"Sntg1",3.30867626113094e-212,-0.559118892686991,0.766,0.856,6.86649584472504e-208
"Zfp521",1.4460773024897e-211,-1.11742205582716,0.177,0.338,3.00104422585688e-207
"Kcnip4",4.77033058198685e-211,0.442523323289812,0.949,0.919,9.89986705679731e-207
"Ppm1e",2.70741924016238e-209,-0.819086556275388,0.288,0.471,5.61870714910898e-205
"Mog",1.17259707484741e-207,-0.989028839797883,0.128,0.28,2.43349070943082e-203
"Auts2",1.34151018002438e-204,0.311923823302644,0.98,0.961,2.78403607660459e-200
"Ust",1.93880056511126e-203,-0.945075984762318,0.185,0.35,4.0235928127754e-199
"Cfap20dc",8.12504713338885e-203,-0.951865947738433,0.161,0.319,1.68619103159219e-198
"Camk2d",9.87665618472356e-202,-0.658530343970648,0.223,0.402,2.04970245801568e-197
"Zfp536",1.15129537239401e-198,-0.647175746917072,0.146,0.306,2.3892832863293e-194
"Tox",5.04526920251215e-194,-0.95058373338532,0.112,0.252,1.04704471759735e-189
"Robo1",7.15401288586375e-191,0.409732472508834,0.962,0.911,1.4846722942033e-186
"Usp54",1.62934235080892e-188,-0.764960297729747,0.309,0.48,3.38137418063375e-184
"Grk5",3.27093604687049e-187,-1.16424298153605,0.163,0.31,6.78817357807032e-183
"Plppr1",1.51883773238205e-186,0.486723253289443,0.787,0.706,3.15204394601248e-182
"Neto1",1.87149139578845e-185,0.436887640794476,0.849,0.75,3.88390609367977e-181
"Basp1",1.8787251449613e-185,-0.817292051459248,0.2,0.363,3.89891829333818e-181
"Arpp21",1.11800381807143e-184,0.450140204287355,0.828,0.741,2.32019332364364e-180
"ENSRNOG00000062930",3.97922915866157e-184,-0.839418416614399,0.172,0.328,8.25809427297035e-180
